opportunity,website,url,type,qualification,status,next_action,notes
Business Profile website and appointment links,Google Business Profile,https://business.google.com/,first-party-profile,Verified clinic profile access confirmed,needs-clinic-approval,Set the website to the canonical homepage and appointment link to /contact after confirmation,Keep UTM parameters out of the canonical destination
Official video descriptions,YouTube,https://www.youtube.com/@RadianceClinics,first-party-media,Official clinic channel confirmed,planned,Add one relevant treatment or guide link to selected high-value video descriptions,Do not mass-edit unrelated videos
Doctor registration record,Odisha Medical Council,https://medicalcouncil.odisha.gov.in/get-doctor-search,professional-record,Official search page is live,verification-required,Confirm the doctor's exact registration record before linking or requesting corrections,Never claim credentials not present in the record
Dermatology association directory,IADVL,https://www.iadvl.org/,professional-association,Official national association site is live,verification-required,Confirm current membership and directory eligibility before submission,Do not imply membership without evidence
Odisha dermatology association,IADVL Odisha,https://iadvlorissa.org/,professional-association,Official state association site is live,verification-required,Confirm membership and legitimate profile or event opportunities,No paid link placement
Hair restoration doctor directory,AHRS India,https://www.ahrsindia.org/locate-your-doctor,professional-association,Official directory page is live,verification-required,Confirm membership and eligibility before requesting a listing,No unsupported surgeon designation
Existing practitioner profile,Practo,https://www.practo.com/,healthcare-directory,Existing search result observed,verification-required,Align clinic name address phone and canonical website URL,Use one consistent clinic identity
Existing local listing,Justdial,https://www.justdial.com/,local-directory,Existing search result observed,verification-required,Correct NAP and link the canonical site only,Avoid purchasing review or ranking packages
Clinic organization profile,LinkedIn,https://www.linkedin.com/,first-party-social,Existing clinic result observed,verification-required,Align clinic name location and homepage URL,Link only the verified official profile
Local health expertise,Odisha TV,https://odishatv.in/contact-us,earned-media,Publisher contact page is live,not-contacted,Pitch a doctor-reviewed public health explainer tied to seasonal patient questions,Editorial value first; no payment for links
Genuine recognition sources,Verified award publishers,,earned-recognition,Existing recognition images require source verification,verification-required,Identify the original publisher page for each legitimate award or event,Do not create self-authored award claims
Device provider directory,Verified treatment-device manufacturers,,provider-listing,Only relevant where provider directories exist,verification-required,Confirm device model clinic authorization and listing policy,Do not claim FDA approval for the clinic itself
Conference speaker profiles,Verified medical conferences,,earned-professional,Requires event records and organizer pages,verification-required,Match existing clinic event images to official agendas or speaker profiles,Use only documented appearances
Original patient education resources,Radiance Clinics knowledge library,https://www.radianceclinics.com/knowledge,linkable-resource,Published first-party medical education,planned,Develop evidence-reviewed resources that local publishers can cite,Do not perform bulk outreach before medical review
