url,title,content_type,topic,source_material,legacy_source,video_source,risk_level,review_priority,medical_claims_present,reviewer,status
/about,About Us,CLINIC_INFO,Clinic & Doctor,../output/markdown/clinic__about-us.md,https://www.radianceclinics.com/about-us/,,MEDIUM,P1,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/skin-clinic-bhubaneswar,Skin Care Treatments,TREATMENT,Skin Health,../output/markdown/skin__skin-care-treatments.md,https://www.radianceclinics.com/skin-care-treatments/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/skin-clinic-bhubaneswar,Dermatology Clinic in Bhubaneswar,PATIENT_GUIDE,Skin Health,../output/markdown/clinic__dermatology-clinic-in-bhubaneswar.md,https://www.radianceclinics.com/dermatology-clinic-in-bhubaneswar/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/hair-loss-scalp/hair-loss,Why Radiance Skin and Hair Clinic is the best hair loss clinic in Bhubaneswar,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,../output/markdown/clinic__why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar.md,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Radiance Clinics: Awarded Times Health Icon for Exceptional Contributions in Cosmetology and Hair Transplant,TREATMENT,Hair Transplant,../output/markdown/clinic__radiance-clinics-awarded-times-health-icon-for-exceptional-contributions-in-cosmetology-and-hair-transplant.md,https://www.radianceclinics.com/post/radiance-clinics-awarded-times-health-icon-for-exceptional-contributions-in-cosmetology-and-hair-transplant/,,HIGH,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/acne-scar-treatment-bhubaneswar,Acne Scars,CONCERN,Acne Scars,../output/markdown/skin__acne-scars.md,https://www.radianceclinics.com/acne-scars/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/knowledge/advantages-of-online-dermatologist-consultations,Advantages of Online Dermatologist Consultations,ARTICLE,Skin Health,../output/markdown/clinic__advantages-of-online-dermatologist-consultations.md,https://www.radianceclinics.com/post/advantages-of-online-dermatologist-consultations/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/knowledge/luminous-love-laser-facials-for-bridal-skincare-bliss,Luminous Love: Laser Facials for Bridal Skincare Bliss,TREATMENT,Skin Health,../output/markdown/clinic__luminous-love-laser-facials-for-bridal-skincare-bliss.md,https://www.radianceclinics.com/post/luminous-love-laser-facials-for-bridal-skincare-bliss/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/knowledge/unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics,Unlocking the Secrets of Skincare and Hair Restoration: A Journey with Radiance Clinics,ARTICLE,Skin Health,../output/markdown/clinic__unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics.md,https://www.radianceclinics.com/post/unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/knowledge/transformative-insights-from-radiance-clinics-for-skin-and-hair-health,Transformative Insights from Radiance Clinics for Skin and Hair Health,ARTICLE,Skin Health,../output/markdown/clinic__transformative-insights-from-radiance-clinics-for-skin-and-hair-health.md,https://www.radianceclinics.com/post/transformative-insights-from-radiance-clinics-for-skin-and-hair-health/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Hair Transplant in Berhampur,LOCATION,Hair Transplant,../output/markdown/clinic__hair-transplant-in-berhampur.md,https://www.radianceclinics.com/hair-transplant-in-berhampur/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/hair-loss-scalp/hair-loss,Hair Regrowth Treatment,TREATMENT,Hair Loss & Scalp,../output/markdown/clinic__hair-regrowth-treatment.md,https://www.radianceclinics.com/hair-regrowth-treatment/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/laser-hair-removal-bhubaneswar,Laser Hair Removal,TREATMENT,Laser Hair Reduction,../output/markdown/clinic__laser-hair-removal-radiance.md,https://www.radianceclinics.com/laser-hair-removal-radiance/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/other-skin-concerns/moles-and-warts,Mole & Wart Removal,CONCERN,General Skin Concerns,../output/markdown/clinic__mole-wart-removal.md,https://www.radianceclinics.com/mole-wart-removal/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/knowledge/best-treatment-for-a-healthy-hair-and-skin,Best Treatment For a Healthy Hair and Skin,TREATMENT,Skin Health,../output/markdown/skin__best-treatment-for-a-healthy-hair-and-skin.md,https://www.radianceclinics.com/post/best-treatment-for-a-healthy-hair-and-skin/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/hair-loss-scalp/hair-loss,Hair Loss and Hair Thinning,CONCERN,Hair Loss & Scalp,../output/markdown/clinic__hair-loss-and-hair-thinning.md,https://www.radianceclinics.com/post/hair-loss-and-hair-thinning/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/knowledge/when-you-need-to-be-at-the-best-skin-clinic,When You Need To Be At The Skin Clinic,DOCTOR_ANSWER_CANDIDATE,Skin Health,../output/markdown/skin__when-you-need-to-be-at-the-best-skin-clinic.md,https://www.radianceclinics.com/post/when-you-need-to-be-at-the-best-skin-clinic/,,HIGH,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,How to ensure the success of hair transplant having it at a hair transplant,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,../output/markdown/clinic__how-to-ensure-the-success-of-hair-transplant-having-it-at-a-hair-transplant.md,https://www.radianceclinics.com/post/how-to-ensure-the-success-of-hair-transplant-having-it-at-a-hair-transplant/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/acne-scar-treatment-bhubaneswar,The Best Acne Scar Treatments to Boost Your Confidence,TREATMENT,Acne Scars,../output/markdown/skin__the-best-acne-scar-treatments-to-boost-your-confidence.md,https://www.radianceclinics.com/post/the-best-acne-scar-treatments-to-boost-your-confidence/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/other-skin-concerns/moles-and-warts,Specialized Wart Removal Services for Flawless Skin,CONCERN,General Skin Concerns,../output/markdown/clinic__specialized-wart-removal-services-for-flawless-skin.md,https://www.radianceclinics.com/post/specialized-wart-removal-services-for-flawless-skin/,,HIGH,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/hair-loss-scalp/hair-loss,Why Radiance Skin and Hair Clinic is the Ideal Choice for Hair Loss Treatment,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,../output/markdown/hair__why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment.md,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-ideal-choice-for-hair-loss-treatment/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/acne/acne,Acne Check Peel: Your Comprehensive Guide to Clearer Skin,TREATMENT,Acne,../output/markdown/clinic__acne-check-peel-your-comprehensive-guide-to-clearer-skin.md,https://www.radianceclinics.com/post/acne-check-peel-your-comprehensive-guide-to-clearer-skin/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Tackling Hair Loss: A Guide to Top-notch Hair Transplant Clinics,TREATMENT,Hair Transplant,../output/markdown/hair__tackling-hair-loss-a-guide-to-top-notch-hair-transplant-clinics.md,https://www.radianceclinics.com/post/tackling-hair-loss-a-guide-to-top-notch-hair-transplant-clinics/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/about,Can You Reverse Signs of Ageing with Anti Ageing Treatment,CLINIC_INFO,Clinic & Doctor,../output/markdown/clinic__can-you-reverse-signs-of-ageing-with-anti-ageing-treatment.md,https://www.radianceclinics.com/post/can-you-reverse-signs-of-ageing-with-anti-ageing-treatment/,,MEDIUM,P1,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/other-skin-concerns/moles-and-warts,Where can I Get Painless Wart Removal Treatment,DOCTOR_ANSWER_CANDIDATE,General Skin Concerns,../output/markdown/clinic__where-can-i-get-painless-wart-removal-treatment.md,https://www.radianceclinics.com/post/where-can-i-get-painless-wart-removal-treatment/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,What Common Mistakes Can Make Your Hair Transplant More Expensive?,DOCTOR_ANSWER_CANDIDATE,Hair Transplant,../output/markdown/hair__what-common-mistakes-can-make-your-hair-transplant-more-expensive.md,https://www.radianceclinics.com/post/what-common-mistakes-can-make-your-hair-transplant-more-expensive/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/about,Is Hair Restoration Worth the Investment?,CLINIC_INFO,Clinic & Doctor,../output/markdown/clinic__is-hair-restoration-worth-the-investment.md,https://www.radianceclinics.com/post/is-hair-restoration-worth-the-investment/,,MEDIUM,P1,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/laser-hair-removal-bhubaneswar,Common Myths about Laser Hair Removal Treatments,TREATMENT,Laser Hair Reduction,../output/markdown/clinic__common-myths-about-laser-hair-removal-treatments.md,https://www.radianceclinics.com/post/common-myths-about-laser-hair-removal-treatments/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Hair Transplant in Puri,LOCATION,Hair Transplant,../output/markdown/clinic__hair-transplant-in-puri.md,https://www.radianceclinics.com/hair-transplant-in-puri/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Hair Transplant in Raipur,LOCATION,Hair Transplant,../output/markdown/hair__hair-transplant-in-raipur.md,https://www.radianceclinics.com/hair-transplant-in-raipur/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Hair Transplant in Cuttack,LOCATION,Hair Transplant,../output/markdown/hair__hair-transplant-in-cuttack.md,https://www.radianceclinics.com/hair-transplant-in-cuttack/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Hair Transplant in Jajpur,LOCATION,Hair Transplant,../output/markdown/clinic__hair-transplant-in-jajpur.md,https://www.radianceclinics.com/hair-transplant-in-jajpur/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/skin-clinic-bhubaneswar,Laser Lipolysis Treatment,TREATMENT,Skin Health,../output/markdown/clinic__laser-lipolysis-treatment.md,https://www.radianceclinics.com/laser-lipolysis-treatment/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/about,Weight Loss Management,CLINIC_INFO,Clinic & Doctor,../output/markdown/clinic__weight-loss-radiance.md,https://www.radianceclinics.com/weight-loss-radiance/,,MEDIUM,P1,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/hair-loss-scalp/hair-loss,Hair Loss Treatments,TREATMENT,Hair Loss & Scalp,../output/markdown/clinic__hair-loss-treatments.md,https://www.radianceclinics.com/hair-loss-treatments/,,MEDIUM,P0,yes,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,Hair Transplant,TREATMENT,Hair Transplant,../output/markdown/clinic__hair-transplantation.md,https://www.radianceclinics.com/hair-transplantation/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/hair-transplant-bhubaneswar,High Density Hair Transplant,TREATMENT,Hair Transplant,../output/markdown/clinic__high-density-hair-transplant.md,https://www.radianceclinics.com/high-density-hair-transplant/,,LOW,P0,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
/concerns/hair-transplant/beard-transplant,Beard & Mustache Transplant,CLINIC_INFO,Clinic & Doctor,../output/markdown/clinic__beard-mustache-transplant.md,https://www.radianceclinics.com/beard-mustache-transplant/,,LOW,P1,possible,Dr. Satyarth Prakash,REVIEW_CONFIRMED_EDITORIAL_MIGRATION_PENDING
