query,current_position,current_url,target_url,action,risk,notes
Hair Transplant in Odisha,1,https://www.radianceclinics.com/,https://www.radianceclinics.com/hair-transplant-bhubaneswar,PRESERVE + STRENGTHEN,critical,Keep homepage relevance while increasing crawlable links to the dedicated page
Hair Transplant Clinic in Bhubaneswar,2,https://www.radianceclinics.com/,https://www.radianceclinics.com/hair-transplant-bhubaneswar,PRESERVE + STRENGTHEN,critical,Do not materially rewrite the homepage title or H1 during recovery
GFC Treatment in Bhubaneswar,2,https://www.radianceclinics.com/,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,PRESERVE + STRENGTHEN,critical,Keep the existing PRP GFC destination and redirect the legacy GFC route in one hop
Laser Hair Removal in Bhubaneswar,3,https://www.radianceclinics.com/laser-hair-removal-radiance/,https://www.radianceclinics.com/laser-hair-removal-bhubaneswar,PRESERVE + STRENGTHEN,critical,One-hop redirect legacy service URL to the indexed dedicated page
Hair Transplant Bhubaneswar,3,https://www.radianceclinics.com/,https://www.radianceclinics.com/hair-transplant-bhubaneswar,PRESERVE + STRENGTHEN,critical,Keep homepage copy stable and improve target links
Hair Transplant in Bhubaneswar,4,https://www.radianceclinics.com/,https://www.radianceclinics.com/hair-transplant-bhubaneswar,PRESERVE + STRENGTHEN,critical,Current three-month GSC average position is 7.8; tracked rank remains protected
Hair Transplant in Berhampur,5,https://www.radianceclinics.com/hair-transplant-in-berhampur/,https://www.radianceclinics.com/hair-transplant-berhampur,PRESERVE + STRENGTHEN,critical,Rebuild as an honest outstation page and redirect the exact legacy URL
Hair Transplant in Cuttack,8,https://www.radianceclinics.com/hair-transplant-in-cuttack/,https://www.radianceclinics.com/hair-transplant-cuttack,PRESERVE + STRENGTHEN,high,Rebuild without claiming a Cuttack branch
Hair Transplant in Puri,10,https://www.radianceclinics.com/hair-transplant-in-puri/,https://www.radianceclinics.com/hair-transplant-puri,PRESERVE + STRENGTHEN,high,Rebuild without claiming a Puri branch
Hair Transplant in Sambalpur,11,https://www.radianceclinics.com/hair-transplant-in-sambalpur/,https://www.radianceclinics.com/hair-transplant-sambalpur,PRESERVE + STRENGTHEN,high,Rebuild without claiming a Sambalpur branch
Hair Transplant in Baripada,13,https://www.radianceclinics.com/hair-transplant-in-baripada/,https://www.radianceclinics.com/hair-transplant-baripada,PRESERVE + STRENGTHEN,high,Rebuild without claiming a Baripada branch
