legacy_url,destination_url,status,reason,equivalence_confidence,notes
/about-us,https://www.radianceclinics.com/about,active-permanent,Equivalent clinic and doctor page,high,Direct one-hop replacement.
/acne-scars,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Equivalent acne scar assessment page,high,Commercial scar-treatment intent is preserved.
/alopecia-treatment,https://www.radianceclinics.com/alopecia-areata-treatment-bhubaneswar,active-permanent,Current alopecia areata assessment page,high,Preserves the legacy page's sudden patchy hair-loss intent with safer reviewed content.
/anti-wrinkle-radiance,https://www.radianceclinics.com/treatments/aesthetic-dermatology/injectable-aesthetics,active-permanent,Current injectable planning page,high,The replacement retains assessment-led aesthetic intent.
/beard-mustache-transplant,https://www.radianceclinics.com/concerns/hair-transplant/beard-transplant,active-permanent,Current beard transplant concern page,high,Direct concern-level replacement.
/bio-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant consultation page,high,The current page presents assessment-led transplant planning.
/blogs,https://www.radianceclinics.com/knowledge,active-permanent,Knowledge library replaces the old blog index,high,Direct content-hub replacement.
/body-hair-transplant,https://www.radianceclinics.com/hair-transplant-bhubaneswar,active-permanent,Current hair transplant consultation page,high,Suitability requires donor and scalp assessment.
/body-piercing,,deferred-verification,No verified current body-piercing page,none,Do not redirect to an unrelated clinic page
/book-online-radiance-clinics-bhuabaneswar,https://www.radianceclinics.com/contact,active-permanent,Current appointment and contact page,high,High-impression booking URL is preserved.
/botox-treatment,https://www.radianceclinics.com/botox-treatment-bhubaneswar,active-permanent,Dedicated doctor-approved Botox treatment page,high,Prevents commercial Botox intent duplication.
/chemical-peel,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The current page supports assessment-led procedure selection.
/conditions/acne-scar-removal,https://www.radianceclinics.com/acne-scar-treatment-bhubaneswar,active-permanent,Current acne-scar assessment page,high,Direct commercial-intent replacement.
/conditions/antiageing/crows-feet,https://www.radianceclinics.com/conditions/skin-ageing-laxity,active-permanent,Current skin-ageing concern page,high,The current page covers assessment-led ageing concerns without promising a procedure.
/conditions/antiageing/forehead-line,https://www.radianceclinics.com/conditions/skin-ageing-laxity,active-permanent,Current skin-ageing concern page,high,Direct concern-level replacement.
/conditions/antiageing/neck-line,https://www.radianceclinics.com/conditions/skin-ageing-laxity,active-permanent,Current skin-ageing concern page,high,Direct concern-level replacement.
/conditions/antiageing/sagging-skin,https://www.radianceclinics.com/conditions/skin-ageing-laxity,active-permanent,Current skin-ageing concern page,high,Direct concern-level replacement.
/conditions/atopic-dermatitis,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The clinic page is the verified route for a dermatology consultation.
/conditions/dark-circles,https://www.radianceclinics.com/concerns/pigmentation/under-eye-dark-circles,active-permanent,Current under-eye concern page,high,Direct concern-level replacement.
/conditions/freckles,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,Legacy condition route is consolidated into the current doctor-led skin consultation page.
/conditions/hairfall/alopecia-areata,https://www.radianceclinics.com/concerns/hair-loss-scalp/alopecia-areata,active-permanent,Current alopecia areata concern page,high,Direct concern-level replacement.
/conditions/hairfall/dandruffs,https://www.radianceclinics.com/concerns/hair-loss-scalp/dandruff,active-permanent,Current dandruff concern page,high,Corrects the historical spelling variant.
/conditions/hairfall/hairfall-in-men,https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,active-permanent,Current hair-loss assessment page,high,The current clinic page evaluates the pattern before treatment selection.
/conditions/keloid,https://www.radianceclinics.com/concerns/scars-stretch-marks/raised-scars-keloids,active-permanent,Current raised-scar and keloid concern page,high,Direct concern-level replacement.
/conditions/laser-tattoo-removal,https://www.radianceclinics.com/tattoo-removal-bhubaneswar,active-permanent,Current laser tattoo removal page,high,Direct treatment-intent replacement.
/conditions/melasma,https://www.radianceclinics.com/concerns/pigmentation/melasma,active-permanent,Current melasma concern page,high,Direct condition-level replacement.
/conditions/open-pores,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic assessment page,high,The current clinic page covers diagnosis-led skin treatment planning.
/conditions/pigmentation-removal,https://www.radianceclinics.com/pigmentation-treatment-bhubaneswar,active-permanent,Current pigmentation assessment page,high,The replacement covers treatment selection after diagnosis.
/conditions/seborrheic-dermatitis,https://www.radianceclinics.com/concerns/hair-loss-scalp/dandruff,active-permanent,Current dandruff and flaky-scalp concern page,high,The current page addresses appropriate assessment of flaky scalp concerns.
/conditions/stretch-marks-removal,https://www.radianceclinics.com/concerns/scars-stretch-marks/stretch-marks,active-permanent,Current stretch-marks concern page,high,Direct concern-level replacement.
/contact-us,https://www.radianceclinics.com/contact,active-permanent,Equivalent appointment and clinic contact page,high,Direct one-hop replacement.
/dandruff-treatment,https://www.radianceclinics.com/concerns/hair-loss-scalp/dandruff,active-permanent,Current dandruff concern page,high,Direct concern-level replacement.
/dermatologists,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic and specialist page,high,Dermatologist and skin-specialist intent is owned by the canonical clinic page.
/dermatology,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Current skin-clinic and specialist page,high,Dermatology intent is owned by the canonical clinic page.
/dermatology-clinic-in-bhubaneswar,https://www.radianceclinics.com/skin-clinic-bhubaneswar,active-permanent,Canonical skin-clinic intent page,high,Prevents duplicate local-intent pages.
/ear-piercing,,deferred-verification,No verified current ear-piercing page,none,Do not redirect to an unrelated clinic page
