url,content_type,primary_topic,primary_intent,primary_query_theme,secondary_query_themes,location,parent_url,related_urls,conversion_goal,indexable,status
/,homepage,Radiance Clinics,navigational-commercial,Radiance Clinics Bhubaneswar,hair clinic; skin clinic; laser clinic; aesthetic clinic,Bhubaneswar,,/treatments;/about;/results;/contact,Book consultation,true,published
/about,doctor-profile,Dr. Satyarth Prakash,commercial-investigation,Dr. Satyarth Prakash Radiance Clinics,doctor-led care; clinic philosophy,Bhubaneswar,/,/treatments;/knowledge;/contact,Book consultation,true,published
/treatments,treatment-index,Clinic treatments,commercial-investigation,hair skin laser aesthetic treatments,hair restoration; skin treatments; laser treatments; aesthetics,Bhubaneswar,/,/treatments/hair-restoration;/treatments/skin;/treatments/laser;/treatments/aesthetic-dermatology,Choose treatment category,true,published
/treatments/hair-restoration,treatment-hub,Hair restoration,commercial-investigation,hair restoration treatments,hair loss treatment; FUE; PRP; GFC,Bhubaneswar,/treatments,/hair-transplant-bhubaneswar;/conditions/hair-fall-thinning;/results#hair-transplant-results,Book hair consultation,true,published
/treatments/skin,treatment-hub,Skin treatments,commercial-investigation,skin treatment options,acne scars; pigmentation; melasma; skin wellness,Bhubaneswar,/treatments,/skin-clinic-bhubaneswar;/conditions/acne-acne-scars;/results#skin-results,Book skin consultation,true,published
/treatments/laser,treatment-hub,Laser treatments,commercial-investigation,laser treatment options,laser hair reduction; laser pigmentation; laser safety,Bhubaneswar,/treatments,/laser-hair-removal-bhubaneswar;/knowledge/laser-skin-treatments-safety,Book laser consultation,true,published
/treatments/aesthetic-dermatology,treatment-hub,Aesthetic dermatology,commercial-investigation,aesthetic dermatology treatments,injectables; fillers; facial planning,Bhubaneswar,/treatments,/treatments/aesthetic-dermatology/injectable-aesthetics;/conditions/skin-ageing-laxity,Book aesthetic consultation,true,published
/concerns,concern-index,Hair skin and scalp concerns,informational,hair skin and scalp concern library,hair loss; acne; scars; pigmentation; laser,Bhubaneswar,/,/doctor-answers;/knowledge;/treatments,Search a concern,true,published
/concerns/hair-loss-scalp,concern-hub,Hair loss and scalp concerns,informational,hair loss and scalp concerns,shedding; thinning; pattern loss; dandruff,Bhubaneswar,/concerns,/treatments/hair-restoration;/knowledge/how-to-plan-hair-restoration,Explore hair concerns,true,published
/concerns/hair-transplant,concern-hub,Hair transplant questions,informational,hair transplant questions,suitability; hairline; shedding; growth,Bhubaneswar,/concerns,/hair-transplant-bhubaneswar;/treatments/hair-restoration/fue-hair-transplant,Explore transplant guidance,true,published
/concerns/acne,concern-hub,Acne concerns,informational,types of acne,whiteheads; inflammatory acne; cystic acne; adult acne,Bhubaneswar,/concerns,/skin-clinic-bhubaneswar;/conditions/acne-acne-scars,Explore acne guidance,true,published
/concerns/acne-scars,concern-hub,Acne scar types,informational,types of acne scars,ice pick; boxcar; rolling; deep scars,Bhubaneswar,/concerns,/acne-scar-treatment-bhubaneswar;/treatments/skin-laser/acne-scar-revision,Explore scar guidance,true,published
