legacy_url,legacy_title,legacy_type,historical_publish_date,suggested_destination,action,equivalence_confidence,medical_review_required,auto_publish,notes
https://www.radianceclinics.com/privacy-policy/,Privacy Policy,page,2022-07-03 06:40:33,/knowledge,editorial-triage,low,true,false,best-superlative;medical-review
https://www.radianceclinics.com/shop/,Shop,page,2022-07-03 06:51:18,/knowledge,editorial-triage,low,editorial-review,false,
https://www.radianceclinics.com/contact-us/,Contact Us,page,2022-07-13 07:24:49,/contact,rewrite-review-and-redirect,high,editorial-review,false,best-superlative
https://www.radianceclinics.com/about-us/,About Us,page,2022-07-15 11:33:06,/about,rewrite-review-and-redirect,high,true,false,best-superlative;medical-review;obsolete-technology-claim
https://www.radianceclinics.com/photo-gallery/,Photo Gallery,page,2022-07-15 13:52:34,/knowledge,editorial-triage,low,editorial-review,false,
https://www.radianceclinics.com/video-gallery/,Video Gallery,page,2022-07-15 14:01:49,/knowledge,editorial-triage,low,editorial-review,false,
https://www.radianceclinics.com/blogs/,Blogs,page,2022-07-15 13:52:51,/knowledge,editorial-triage,low,editorial-review,false,
https://www.radianceclinics.com/,Home Front Page,page,2022-07-17 15:55:50,/,rewrite-review-and-redirect,high,true,false,best-superlative;medical-review
https://www.radianceclinics.com/locations/,Locations,page,2022-07-30 11:58:12,/locations,rewrite-review-and-redirect,high,editorial-review,false,
https://www.radianceclinics.com/hair/,Hair,page,2022-08-03 13:08:02,/knowledge,editorial-triage,low,true,false,medical-review
https://www.radianceclinics.com/skin-care-treatments/,Skin Care Treatments,page,2022-08-04 10:18:21,/skin-clinic-bhubaneswar,rewrite-review-and-redirect,high,true,false,best-superlative;medical-review
https://www.radianceclinics.com/hair-transplant-in-puri/,Hair Transplant in Puri,page,2022-08-08 09:59:49,/concerns/hair-transplant,merge-candidate,low,true,false,guaranteed-claim;best-superlative;medical-review;obsolete-technology-claim
https://www.radianceclinics.com/hair-transplant-in-rourkela/,Hair transplant in Rourkela,page,2022-08-09 14:45:55,/concerns/hair-transplant,merge-candidate,low,true,false,best-superlative;medical-review
https://www.radianceclinics.com/book-online-radiance-clinics-bhuabaneswar/,BOOK A CALL BACK NOW,page,2022-08-15 07:28:19,/knowledge,editorial-triage,low,editorial-review,false,
https://www.radianceclinics.com/media-press-release/,Media,page,2022-08-15 14:04:12,/knowledge,editorial-triage,low,editorial-review,false,
