source_file,old_post_id,old_url,old_slug,old_title,old_content_type,new_content_type,category,subcategory,original_publish_date,original_modified_date,word_count,media_count,internal_links,external_links,seo_title,meta_description,potential_target_url,existing_new_equivalent,content_quality_score,historical_value_score,medical_review_required,recommended_action,notes
../output/markdown/clinic__about-us.md,,https://www.radianceclinics.com/about-us/,about-us,About Us,page,CLINIC_INFO,Clinic & Doctor,clinic,2022-07-15,,623,,0,0,,,/about,yes,100,91,no,EXPAND,source bucket GOOD; medical/editorial flags: \bflawless\b | \bmiracle\b
../output/markdown/skin__skin-care-treatments.md,,https://www.radianceclinics.com/skin-care-treatments/,skin-care-treatments,Skin Care Treatments,page,TREATMENT,Skin Health,skin,2022-08-04,,601,,0,0,,,/skin-clinic-bhubaneswar,yes,100,90,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bwhiten(?:ing)?\b | \b(botox|filler|injectable)\b
../output/markdown/clinic__dermatology-clinic-in-bhubaneswar.md,,https://www.radianceclinics.com/dermatology-clinic-in-bhubaneswar/,dermatology-clinic-in-bhubaneswar,Dermatology Clinic in Bhubaneswar,page,PATIENT_GUIDE,Skin Health,clinic,2025-10-06,,513,,0,0,,,/skin-clinic-bhubaneswar,yes,100,86,yes,EXPAND,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar.md,,https://www.radianceclinics.com/post/why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar/,why-radiance-skin-and-hair-clinic-is-the-best-hair-loss-clinic-in-bhubaneswar,Why Radiance Skin and Hair Clinic is the best hair loss clinic in Bhubaneswar,post,DOCTOR_ANSWER_CANDIDATE,Hair Loss & Scalp,clinic,2022-05-03,,448,,0,0,,,/concerns/hair-loss-scalp/hair-loss,yes,100,84,yes,CONVERT_TO_QA,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__radiance-clinics-awarded-times-health-icon-for-exceptional-contributions-in-cosmetology-and-hair-transplant.md,,https://www.radianceclinics.com/post/radiance-clinics-awarded-times-health-icon-for-exceptional-contributions-in-cosmetology-and-hair-transplant/,radiance-clinics-awarded-times-health-icon-for-exceptional-contributions-in-cosmetology-and-hair-transplant,Radiance Clinics: Awarded Times Health Icon for Exceptional Contributions in Cosmetology and Hair Transplant,post,TREATMENT,Hair Transplant,clinic,2024-06-29,,537,,0,0,,,/hair-transplant-bhubaneswar,yes,100,87,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bflawless\b | \bmole\b | \bweight loss\b
../output/markdown/skin__acne-scars.md,,https://www.radianceclinics.com/acne-scars/,acne-scars,Acne Scars,page,CONCERN,Acne Scars,skin,2023-08-10,,584,,0,0,,,/acne-scar-treatment-bhubaneswar,yes,95,86,yes,EXPAND,source bucket GOOD; medical/editorial flags: \bpainless\b
../output/markdown/clinic__advantages-of-online-dermatologist-consultations.md,,https://www.radianceclinics.com/post/advantages-of-online-dermatologist-consultations/,advantages-of-online-dermatologist-consultations,Advantages of Online Dermatologist Consultations,post,ARTICLE,Skin Health,clinic,2022-01-31,,436,,0,0,,,/knowledge/advantages-of-online-dermatologist-consultations,no,95,80,yes,CONVERT_TO_GUIDE,source bucket GOOD; medical/editorial flags: \bprescri(?:be|ption)\b
../output/markdown/clinic__luminous-love-laser-facials-for-bridal-skincare-bliss.md,,https://www.radianceclinics.com/post/luminous-love-laser-facials-for-bridal-skincare-bliss/,luminous-love-laser-facials-for-bridal-skincare-bliss,Luminous Love: Laser Facials for Bridal Skincare Bliss,post,TREATMENT,Skin Health,clinic,2023-12-19,,446,,0,0,,,/knowledge/luminous-love-laser-facials-for-bridal-skincare-bliss,no,95,80,yes,REWRITE,source bucket GOOD; medical/editorial flags: \bflawless\b
../output/markdown/clinic__unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics.md,,https://www.radianceclinics.com/post/unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics/,unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics,Unlocking the Secrets of Skincare and Hair Restoration: A Journey with Radiance Clinics,post,ARTICLE,Skin Health,clinic,2024-01-10,,559,,0,0,,,/knowledge/unlocking-the-secrets-of-skincare-and-hair-restoration-a-journey-with-radiance-clinics,no,95,85,yes,CONVERT_TO_GUIDE,source bucket GOOD; no automated medical-risk phrase flag
../output/markdown/clinic__transformative-insights-from-radiance-clinics-for-skin-and-hair-health.md,,https://www.radianceclinics.com/post/transformative-insights-from-radiance-clinics-for-skin-and-hair-health/,transformative-insights-from-radiance-clinics-for-skin-and-hair-health,Transformative Insights from Radiance Clinics for Skin and Hair Health,post,ARTICLE,Skin Health,clinic,2024-02-28,,564,,0,0,,,/knowledge/transformative-insights-from-radiance-clinics-for-skin-and-hair-health,no,95,85,yes,CONVERT_TO_GUIDE,source bucket GOOD; no automated medical-risk phrase flag
