url,role,priority,sitemap,gsc_index_status,last_crawl,crawled_as,crawl_allowed,fetch_result,indexing_allowed,user_canonical,google_canonical,next_action,evidence,checked_at
https://www.radianceclinics.com/,Protected homepage query owner,P0,standard,URL is on Google,"24 Aug 2026, 10:13:46",Googlebot smartphone,Yes,Successful,Yes,https://www.radianceclinics.com/,Inspected URL,Retain current technical configuration and monitor query/page performance.,Authenticated Google Search Console browser inspection,2026-08-24
https://www.radianceclinics.com/treatments/hair-restoration,Hair restoration hub,P0,standard,URL is on Google,,,,,,,,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/hair-loss-clinic-bhubaneswar,Hair loss commercial owner,P0,standard,URL is on Google,,,,,,,,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/hair-transplant-bhubaneswar,Hair transplant commercial page,P0,standard,URL is on Google,"17 Aug 2026, 15:15:43",Googlebot smartphone,Yes,Successful,Yes,https://www.radianceclinics.com/hair-transplant-bhubaneswar,Inspected URL,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/non-surgical-hair-replacement-bhubaneswar,Hair patch and wig canonical owner,P0,standard,URL is on Google,,,,,,,,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/treatments/hair-restoration/fue-hair-transplant,FUE planning page,P0,standard,URL is on Google,,,,,,,,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,PRP and GFC treatment page,P0,standard,URL is on Google,"17 Aug 2026, 05:15:25",Googlebot smartphone,Yes,Successful,Yes,https://www.radianceclinics.com/treatments/hair-restoration/prp-gfc-scalp-therapy,Inspected URL,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/treatments/hair-restoration/advanced-hair-fall-solutions,Hair fall treatment page,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/alopecia-areata-treatment-bhubaneswar,Alopecia assessment page,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/hair-transplant-rourkela,Verified Rourkela travel page,P1,standard,URL is on Google,,,,,,,,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/concerns/hair-loss-scalp/male-pattern-hair-loss,Male pattern hair loss concern,P1,standard,URL is on Google,,,,,,,,Retain current technical configuration and monitor query/page performance.,"Authenticated Google Search Console browser URL Inspection, read-only check on 2026-09-24.",2026-09-24
https://www.radianceclinics.com/concerns/hair-loss-scalp/female-pattern-hair-loss,Female pattern hair loss concern,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/concerns/hair-loss-scalp/receding-hairline,Receding hairline concern,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/concerns/hair-loss-scalp/dandruff,Dandruff and scalp concern,P2,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/concerns/hair-transplant/beard-transplant,Beard transplant concern,P2,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/knowledge/hair-loss-causes-and-assessment,Hair loss education guide,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/knowledge/hair-transplant-aftercare,Hair transplant aftercare guide,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/knowledge/hair-transplant-cost-factors,Hair transplant cost guide,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
https://www.radianceclinics.com/knowledge/prp-gfc-hair-restoration-guide,PRP and GFC guide,P1,standard,URL_INSPECTION_REQUIRED,,,,,,,,Use URL Inspection after deployment; do not treat absence from this CSV as non-indexed.,No direct GSC URL Inspection record is available in the repository.,2026-09-24
