watch_page,video_id,video_title,topic,page_indexed,video_detected,video_indexed,reason_or_next_action,sitemap,checked_at
https://www.radianceclinics.com/videos/hair-transplant-costs-and-clinic-choice,sBVuXKjqcmM,Cheap or Expensive Hair Transplant? 🤔 Which One Should You Choose?,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-transplant-aftercare-day-by-day,PhbvumkbZBs,Hair Transplant Day by Day After Care Guide | Do’s & Don’ts After Hair Transplant,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-loss-treatment-options,MrMZVFY1XtI,ହେୟାର ଲସ୍ ରୋକିବା ପାଇଁ ସବୁଠୁ ଭଲ ଟ୍ରିଟମେଣ୍ଟ କ’ଣ?Hair Loss Treatment Explained by Dr. Satyartha Prakash,Hair Loss,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/is-hair-transplant-painful,e1_CJ4QjtaU,Is Hair Transplant Painful? Doctor Reveals the Truth!,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/main-causes-of-hair-fall,Lu8PX0YsIpU,5 Main Reasons for Hair Fall,Hair Loss,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/does-hair-dye-damage-hair,WignJ9dQJGM,Does Hair Dye Damage Your Hair? The Truth Revealed!,Hair Loss,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-transplant-myths-and-facts,S-iOA7L3gbM,Hair Transplant Myths vs Facts Explained,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/why-is-my-hair-falling,k93g6kBe1SM,Why Is Your Hair Falling So Much? Doctor Explains,Hair Loss,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-fall-during-bathing,QIrzuJAEO-Y,Is Hair Fall During Bathing Normal or Abnormal? Causes & Best Treatment Explained,Hair Loss,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/can-hair-fall-be-reversed,RVP4ItWm_r8,Can Hair Fall Be Reversed When Hair Can Grow Back & When It Can’t!,Hair Loss,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-transplant-safety,2LR2hoFp-tE,💇‍♂️ क्या Hair Transplant वाकई सेफ़ है? सच्चाई जानिए Radiance Clinics Bhubaneswar से!,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-transplant-graft-planning,NDjLAH5OOs4,How Many Grafts Are Required? | Hair Transplant Guide Radiance Clinics,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/hair-patch-vs-hair-transplant,Kc-kwamHiJI,Hair Patch Vs Hair Transplant ? Which Option is Better | Dr. Satyartha Prakash,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/choosing-a-hair-transplant-clinic,8qYMw935MF8,Find Your Perfect Hair Transplant Clinic: Radiance Clinics With Dr. Satyartha Prakash,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
https://www.radianceclinics.com/videos/receding-hairline-options,YAjkqyKW1Jk,एक चमत्कारी तरीका | हेयर लाइन को फायदा | How To Regain Receding Hairline | Dr. Satyartha Prakash,Hair Transplant,PENDING_URL_INSPECTION,PENDING_VIDEO_INDEXING_REPORT,PENDING_VIDEO_INDEXING_REPORT,Live in the public video sitemap; inspect selected P0 pages in Search Console. Do not infer video index status from an embedded player.,https://www.radianceclinics.com/video-sitemap.xml,2026-09-24
