filename,category,role,title,alt_text,caption,featured,consent_confirmed,case_id,angle,time_gap,notes
01-hero/radiance-hero-anil-kapoor-feature-01.jpg,hero,hero_feature,Recognition moment with Anil Kapoor,Dr Satyarth Prakash at a recognition moment with Anil Kapoor,Recognition moment from Radiance Skin and Hair Clinics,yes,,,,,Use as recognition moment only; avoid celebrity endorsement language unless approved.
01-hero/radiance-hero-doctor-consultation-feature-01.jpg,hero,hero_secondary,Doctor consultation,Dr Satyarth Prakash during patient consultation,Doctor-led consultation at Radiance Clinics,yes,,,,,
01-hero/radiance-hero-clinic-interior-secondary-01.jpg,hero,hero_secondary,Premium clinic interior,Modern reception interior of Radiance Skin and Hair Clinics,Premium clinic ambience at Radiance Clinics,yes,,,,,
01-hero/radiance-hero-happy-patient-secondary-01.jpg,hero,hero_secondary,Doctor with happy patient,Dr Satyarth Prakash with a happy patient at Radiance Clinics,Patient trust at Radiance Clinics,yes,,,,,
02-doctor/radiance-doctor-satyarth-portrait-01.jpg,doctor,portrait,Dr Satyarth portrait,Dr Satyarth Prakash seated in his consultation room,"Dr Satyarth Prakash, MD",yes,,,,,
02-doctor/radiance-doctor-satyarth-consultation-01.jpg,doctor,consultation,Dr Satyarth consultation,Dr Satyarth Prakash consulting patients in clinic,Doctor-led consultation at Radiance Clinics,yes,,,,,
02-doctor/radiance-doctor-satyarth-procedure-room-01.jpg,doctor,procedure_room,Procedure room,Treatment room and equipment at Radiance Clinics,Advanced treatment environment at Radiance Clinics,,,,,,
02-doctor/radiance-doctor-satyarth-with-patient-01.jpg,doctor,with_patient,Dr Satyarth with patient,Dr Satyarth Prakash with patient after clinic visit,Patient care at Radiance Clinics,,,,,,
02-doctor/radiance-doctor-satyarth-with-team-01.jpg,doctor,with_team,Dr Satyarth with care team,Clinical consultation setting with doctor and patients,Consultation and care team environment,,,,,,
02-doctor/radiance-doctor-satyarth-award-moment-01.jpg,doctor,award_moment,Dr Satyarth award moment,Dr Satyarth Prakash receiving recognition at an event,Recognition moment for Radiance Clinics,yes,,,,,
03-before-after/case001/radiance-ba-hair-transplant-case001-front-before.jpg,before_after,front_before,Hair transplant case 001 front before,hair transplant case 001 front before,Hair transplant case 001 front before,no,yes,case001,front,,Verify same patient and exact time gap before publishing.
03-before-after/case001/radiance-ba-hair-transplant-case001-front-after.jpg,before_after,front_after,Hair transplant case 001 front after,hair transplant case 001 front after,Hair transplant case 001 front after,no,yes,case001,front,,Verify same patient and exact time gap before publishing.
03-before-after/case001/radiance-ba-hair-transplant-case001-angle-before.jpg,before_after,angle_before,Hair transplant case 001 angle before,hair transplant case 001 angle before,Hair transplant case 001 angle before,no,yes,case001,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case001/radiance-ba-hair-transplant-case001-angle-after.jpg,before_after,angle_after,Hair transplant case 001 angle after,hair transplant case 001 angle after,Hair transplant case 001 angle after,no,yes,case001,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case002/radiance-ba-hair-transplant-case002-front-before.jpg,before_after,front_before,Hair transplant case 002 front before,hair transplant case 002 front before,Hair transplant case 002 front before,no,yes,case002,front,,Verify same patient and exact time gap before publishing.
03-before-after/case002/radiance-ba-hair-transplant-case002-front-after.jpg,before_after,front_after,Hair transplant case 002 front after,hair transplant case 002 front after,Hair transplant case 002 front after,no,yes,case002,front,,Verify same patient and exact time gap before publishing.
03-before-after/case002/radiance-ba-hair-transplant-case002-angle-before.jpg,before_after,angle_before,Hair transplant case 002 angle before,hair transplant case 002 angle before,Hair transplant case 002 angle before,no,yes,case002,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case002/radiance-ba-hair-transplant-case002-angle-after.jpg,before_after,angle_after,Hair transplant case 002 angle after,hair transplant case 002 angle after,Hair transplant case 002 angle after,no,yes,case002,angle,,Verify same patient and exact time gap before publishing.
03-before-after/case003/radiance-ba-hair-transplant-case003-front-before.jpg,before_after,front_before,Hair transplant case 003 front before,hair transplant case 003 front before,Hair transplant case 003 front before,no,yes,case003,front,,Verify same patient and exact time gap before publishing.
