canonical_topic,content_type,primary_url,concern_family,treatment,patient_intent,legacy_content_count,legacy_quality,youtube_video_count,doctor_answer_count,case_count,search_alias_count,content_completeness,medical_review_status,priority,recommended_next_action
Acne,topic-cluster,/concerns/acne,Acne,acne,education and consultation planning,11,67,6,7,0,25,72,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P0,Consolidate strongest legacy sources and videos into cornerstone cluster
Acne Scars,topic-cluster,/concerns/acne-scars,Acne Scars,acne-scars,education and consultation planning,10,69,4,7,0,22,63,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P1,Review source gaps before adding pages
Ageing & Aesthetics,topic-cluster,/concerns/aging-aesthetics,Ageing & Aesthetics,aging-aesthetics,education and consultation planning,20,63,0,3,0,12,53,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P1,Review source gaps before adding pages
Clinic & Doctor,topic-cluster,/about,Clinic & Doctor,,education and consultation planning,70,56,3,0,0,0,43,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P2,Review source gaps before adding pages
General Skin Concerns,topic-cluster,/concerns/other-skin-concerns,General Skin Concerns,other-skin-concerns,education and consultation planning,8,73,0,2,0,9,27,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P2,Review source gaps before adding pages
Hair Loss & Scalp,topic-cluster,/concerns/hair-loss-scalp,Hair Loss & Scalp,hair-loss-scalp,education and consultation planning,33,68,7,7,0,30,90,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P0,Consolidate strongest legacy sources and videos into cornerstone cluster
Hair Transplant,topic-cluster,/concerns/hair-transplant,Hair Transplant,hair-transplant,education and consultation planning,39,78,138,12,0,27,100,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P0,Consolidate strongest legacy sources and videos into cornerstone cluster
Laser Hair Reduction,topic-cluster,/concerns/laser-hair-reduction,Laser Hair Reduction,laser-hair-reduction,education and consultation planning,12,79,5,4,0,15,56,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P1,Review source gaps before adding pages
Other,topic-cluster,/knowledge,Other,,education and consultation planning,9,20,1,0,0,0,18,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P2,Review source gaps before adding pages
Pigmentation,topic-cluster,/concerns/pigmentation,Pigmentation,pigmentation,education and consultation planning,14,68,8,6,0,22,77,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P0,Consolidate strongest legacy sources and videos into cornerstone cluster
Scars & Stretch Marks,topic-cluster,/concerns/scars-stretch-marks,Scars & Stretch Marks,scars-stretch-marks,education and consultation planning,5,59,1,2,0,12,26,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P2,Review source gaps before adding pages
Skin Health,topic-cluster,/concerns/skin-texture,Skin Health,skin-texture,education and consultation planning,69,64,5,3,0,15,68,APPROVED_PUBLIC_CONTENT_SOURCE_REVIEW_CONFIRMED,P1,Review source gaps before adding pages
